N,length,width,fgap,ggap,taper,1_1,1_2,1_GND,2_1,2_2,2_GND,GND_1,GND_2,GND_GND
8,100.0,10.0,10.0,75.00000001,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.0,10.0,10.0,75.0,50.00000001,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
9,100.0,10.0,10.0,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.00000001,10.0,10.0,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.00000001,10.0,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.0,10.00000001,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.0,10.0,75.00000001,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.0,10.0,75.0,50.00000001,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
10,100.0,10.0,10.0,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.00000001,10.0,10.0,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.0,10.00000001,10.0,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
